date,value
2024-01-01,13455.83
2024-01-02,13481.66
2024-01-03,13417.45
2024-01-04,13543.09
2024-01-05,13602.69
2024-01-08,13592.31
2024-01-09,13509.43
2024-01-10,13628.08
2024-01-11,13680.50
2024-01-12,13735.50
2024-01-15,13634.93
2024-01-16,13825.19
2024-01-17,13917.92
2024-01-18,14090.32
2024-01-19,14112.74
2024-01-22,14261.85
2024-01-23,14276.01
2024-01-24,13968.21
2024-01-25,13888.69
2024-01-26,13989.31
2024-01-29,14019.35
2024-01-30,14158.91
2024-01-31,14231.71
2024-02-01,14247.04
2024-02-02,14441.85
2024-02-05,14539.65
2024-02-06,14599.66
2024-02-07,14688.44
2024-02-08,14798.65
2024-02-09,14777.54
2024-02-12,14749.81
2024-02-13,14537.65
2024-02-14,14785.17
2024-02-15,14888.13
2024-02-16,14912.40
2024-02-19,14826.19
2024-02-20,14814.65
2024-02-21,15003.37
2024-02-22,14888.73
2024-02-23,14763.90
2024-02-26,14720.55
2024-02-27,14951.67
2024-02-28,14883.57
2024-02-29,14890.32
2024-03-01,14940.09
2024-03-04,15173.17
2024-03-05,15318.26
2024-03-06,15495.03
2024-03-07,15563.02
2024-03-08,15598.58
2024-03-11,15531.79
2024-03-12,15371.93
2024-03-13,15370.85
2024-03-14,15446.47
2024-03-15,15438.86
2024-03-18,15561.28
2024-03-19,15404.07
2024-03-20,15239.15
2024-03-21,15364.15
2024-03-22,15371.04
2024-03-25,15188.95
2024-03-26,15218.83
2024-03-27,15362.76
2024-03-28,15634.55
2024-03-29,15611.54
2024-04-01,15696.01
2024-04-02,15566.45
2024-04-03,15672.75
2024-04-04,15673.73
2024-04-05,15624.48
2024-04-08,15671.58
2024-04-09,15605.83
2024-04-10,15589.78
2024-04-11,15799.84
2024-04-12,15696.47
2024-04-15,15863.64
2024-04-16,15865.77
2024-04-17,15983.90
2024-04-18,16004.60
2024-04-19,16007.12
2024-04-22,16083.86
2024-04-23,15955.59
2024-04-24,15908.45
2024-04-25,15956.13
2024-04-26,15930.63
2024-04-29,15795.55
2024-04-30,15918.99
2024-05-01,15879.70
2024-05-02,15935.63
2024-05-03,16057.14
2024-05-06,16057.76
2024-05-07,15964.34
2024-05-08,16109.30
2024-05-09,16064.99
2024-05-10,15942.38
2024-05-13,16072.79
2024-05-14,16029.02
2024-05-15,16169.35
2024-05-16,16107.82
2024-05-17,16004.10
2024-05-20,15678.30
2024-05-21,15574.98
2024-05-22,15610.40
2024-05-23,15740.51
2024-05-24,15550.22
2024-05-27,15455.50
2024-05-28,15621.09
2024-05-29,15642.11
2024-05-30,15644.26
2024-05-31,15699.85
2024-06-03,15758.00
2024-06-04,15767.28
2024-06-05,15618.20
2024-06-06,15601.96
2024-06-07,15796.77
2024-06-10,15857.73
2024-06-11,15836.88
2024-06-12,15968.99
2024-06-13,15960.73
2024-06-14,15955.26
2024-06-17,15707.47
2024-06-18,15567.45
2024-06-19,15449.53
2024-06-20,15322.43
2024-06-21,15386.09
2024-06-24,15525.65
2024-06-25,15633.42
2024-06-26,15681.87
2024-06-27,15718.76
2024-06-28,15685.67
2024-07-01,15522.44
2024-07-02,15513.20
2024-07-03,15274.19
2024-07-04,15125.63
2024-07-05,15138.26
2024-07-08,15173.28
2024-07-09,15065.10
2024-07-10,15060.26
2024-07-11,14999.69
2024-07-12,14903.04
2024-07-15,14864.61
2024-07-16,14995.33
2024-07-17,15188.42
2024-07-18,15250.97
2024-07-19,15289.14
2024-07-22,15209.03
2024-07-23,15095.33
2024-07-24,15154.97
2024-07-25,15111.96
2024-07-26,15410.38
2024-07-29,15559.66
2024-07-30,15490.40
2024-07-31,15506.27
2024-08-01,15484.74
2024-08-02,15534.65
2024-08-05,15654.77
2024-08-06,15767.24
2024-08-07,15853.10
2024-08-08,15824.42
2024-08-09,15907.09
2024-08-12,15951.25
2024-08-13,15923.55
2024-08-14,15846.73
2024-08-15,15677.99
2024-08-16,15387.99
2024-08-19,15434.63
2024-08-20,15536.12
2024-08-21,15427.01
2024-08-22,15626.33
2024-08-23,15493.20
2024-08-26,15834.41
2024-08-27,15684.70
2024-08-28,15338.00
2024-08-29,15269.67
2024-08-30,15245.34
2024-09-02,15495.21
2024-09-03,15643.45
2024-09-04,15510.65
2024-09-05,15537.84
2024-09-06,15534.88
2024-09-09,15563.72
2024-09-10,15484.62
2024-09-11,15264.59
2024-09-12,15300.53
2024-09-13,15453.09
2024-09-16,15403.29
2024-09-17,15285.59
2024-09-18,15309.79
2024-09-19,15162.42
2024-09-20,15150.29
2024-09-23,14935.95
2024-09-24,15049.40
2024-09-25,14986.94
2024-09-26,14924.05
2024-09-27,15072.01
2024-09-30,15070.76
2024-10-01,15119.23
2024-10-02,14971.56
